"total_CVCases","total_Deaths","total_Recovered","countries_name","countries_totalcases","countries_totaldeaths","countries_recoveries","countries_population","countries_population_url"
"","","","Eswatini","371","3","232","1,159,446","https://www.worldometers.info/world-population/swaziland-population/"
"","","","Libya","359","5","58","6,865,543","https://www.worldometers.info/world-population/libya-population/"
"","","","Mauritius","337","10","324","1,271,651","https://www.worldometers.info/world-population/mauritius-population/"
"","","","Isle of Man","336","24","312","85,007","https://www.worldometers.info/world-population/isle-of-man-population/"
"","","","Vietnam","332","","317","97,286,822","https://www.worldometers.info/world-population/viet-nam-population/"
"","","","Montenegro","324","9","315","628,062","https://www.worldometers.info/world-population/montenegro-population/"
"","","","Zimbabwe","314","4","46","14,849,502","https://www.worldometers.info/world-population/zimbabwe-population/"
"","","","Benin","305","4","188","12,101,485","https://www.worldometers.info/world-population/benin-population/"
"","","","Myanmar","246","6","159","54,388,681","https://www.worldometers.info/world-population/myanmar-population/"
"","","","Martinique","202","14","98","375,281","https://www.worldometers.info/world-population/martinique-population/"
"","","","Mongolia","194","","87","3,274,971","https://www.worldometers.info/world-population/mongolia-population/"
"","","","Faeroe Islands","187","","187","48,853","https://www.worldometers.info/world-population/faeroe-islands-population/"
"","","","Cayman Islands","176","1","104","65,675","https://www.worldometers.info/world-population/cayman-islands-population/"
"","","","Gibraltar","176","","165","33,692","https://www.worldometers.info/world-population/gibraltar-population/"
"","","","Guadeloupe","164","14","144","400,120","https://www.worldometers.info/world-population/guadeloupe-population/"
"","","","Guyana","156","12","86","786,336","https://www.worldometers.info/world-population/guyana-population/"
"","","","Syria","146","6","62","17,472,035","https://www.worldometers.info/world-population/syria-population/"
"","","","Bermuda","141","9","120","62,290","https://www.worldometers.info/world-population/bermuda-population/"
"","","","Brunei","141","2","138","437,230","https://www.worldometers.info/world-population/brunei-darussalam-population/"
"","","","Comoros","141","2","67","868,384","https://www.worldometers.info/world-population/comoros-population/"
"","","","Suriname","137","2","9","586,321","https://www.worldometers.info/world-population/suriname-population/"
"","","","Cambodia","126","","125","16,704,700","https://www.worldometers.info/world-population/cambodia-population/"
"","","","Trinidad and Tobago","117","8","109","1,399,234","https://www.worldometers.info/world-population/trinidad-and-tobago-population/"
"","","","Bahamas","103","11","64","393,021","https://www.worldometers.info/world-population/bahamas-population/"
"","","","Aruba","101","3","98","106,740","https://www.worldometers.info/world-population/aruba-population/"
"","","","Monaco","99","4","93","39,226","https://www.worldometers.info/world-population/monaco-population/"
"","","","Angola","96","4","38","32,793,526","https://www.worldometers.info/world-population/angola-population/"
"","","","Barbados","92","7","81","287,356","https://www.worldometers.info/world-population/barbados-population/"
"","","","Burundi","83","1","45","11,865,851","https://www.worldometers.info/world-population/burundi-population/"
"","","","Liechtenstein","82","1","55","38,122","https://www.worldometers.info/world-population/liechtenstein-population/"
"","","","Sint Maarten","77","15","61","42,847","https://www.worldometers.info/world-population/sint-maarten-population/"
"","","","French Polynesia","60","","60","280,815","https://www.worldometers.info/world-population/french-polynesia-population/"
"","","","Bhutan","59","","18","771,097","https://www.worldometers.info/world-population/bhutan-population/"
"","","","Macao","45","","45","648,790","https://www.worldometers.info/world-population/china-macao-sar-population/"
"","","","Botswana","42","1","24","2,348,537","https://www.worldometers.info/world-population/botswana-population/"
"","","","Saint Martin","41","3","33","38,624","https://www.worldometers.info/world-population/saint-martin-population/"
"","","","Eritrea","39","","39","3,543,395","https://www.worldometers.info/world-population/eritrea-population/"
"","","","Namibia","31","","17","2,537,963","https://www.worldometers.info/world-population/namibia-population/"
"","","","Gambia","28","1","21","2,411,953","https://www.worldometers.info/world-population/gambia-population/"
"","","","St. Vincent Grenadines","27","","25","110,920","https://www.worldometers.info/world-population/saint-vincent-and-the-grenadines-population/"
"","","","Antigua and Barbuda","26","3","20","97,881","https://www.worldometers.info/world-population/antigua-and-barbuda-population/"
"","","","Timor-Leste","24","","24","1,316,827","https://www.worldometers.info/world-population/timor-leste-population/"
"","","","Grenada","23","","22","112,493","https://www.worldometers.info/world-population/grenada-population/"
"","","","Curaçao","21","1","15","164,055","https://www.worldometers.info/world-population/curacao-population/"
